Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
47,47,2014-01-27,24-317,LAC,@,MIL,W (+28),1,28:26,8,13,.615,0,1,.000,4,5,.800,2,3,5,2,2,1,3,3,20,15.9,+19
48,48,2014-01-29,24-319,LAC,,WAS,W (+7),1,37:23,12,20,.600,0,0,,5,8,.625,1,8,9,4,1,1,6,4,29,18.6,+4
49,49,2014-01-30,24-320,LAC,@,GSW,L (-19),1,39:33,11,21,.524,0,0,,5,10,.500,1,2,3,2,3,0,2,1,27,18.0,-8
50,50,2014-02-01,24-322,LAC,,UTA,W (+15),1,35:25,9,19,.474,0,0,,7,12,.583,4,7,11,4,0,0,1,2,25,19.2,+17
51,51,2014-02-03,24-324,LAC,@,DEN,L (-1),1,37:34,13,21,.619,0,0,,10,16,.625,6,5,11,5,1,0,0,4,36,32.7,0
52,52,2014-02-05,24-326,LAC,,MIA,L (-4),1,42:17,16,34,.471,1,3,.333,10,17,.588,9,6,15,6,0,0,4,5,43,29.1,+5
53,53,2014-02-07,24-328,LAC,,TOR,W (+13),1,28:19,13,18,.722,0,1,.000,10,13,.769,1,7,8,2,2,1,2,5,36,30.3,+14
54,54,2014-02-09,24-330,LAC,,PHI,W (+45),1,24:52,11,14,.786,0,0,,4,4,1.000,0,11,11,6,1,0,2,3,26,25.9,+32
55,55,2014-02-12,24-333,LAC,,POR,W (+5),1,39:15,13,21,.619,0,0,,10,12,.833,2,8,10,1,0,0,1,3,36,28.0,0
56,56,2014-02-18,24-339,LAC,,SAS,L (-10),1,38:12,14,24,.583,1,1,1.000,6,10,.600,3,9,12,4,2,0,3,1,35,28.4,-4
57,57,2014-02-21,24-342,LAC,@,MEM,L (-6),1,39:42,10,21,.476,0,0,,8,14,.571,5,8,13,2,0,1,2,4,28,19.3,-2
58,58,2014-02-23,24-344,LAC,@,OKC,W (+8),1,36:30,6,15,.400,1,1,1.000,7,10,.700,2,5,7,6,0,1,4,5,20,12.5,+15
59,59,2014-02-24,24-345,LAC,@,NOP,W (+13),1,33:04,6,12,.500,0,2,.000,10,14,.714,0,4,4,3,1,0,4,5,22,12.7,+17
60,60,2014-02-26,24-347,LAC,,HOU,W (+8),1,40:20,11,25,.440,0,2,.000,1,1,1.000,6,10,16,3,2,1,2,2,23,19.1,+20
61,61,2014-03-01,24-350,LAC,,NOP,W (+32),1,31:40,8,17,.471,0,0,,4,6,.667,0,5,5,1,0,1,3,1,20,10.0,+29
62,62,2014-03-04,24-353,LAC,@,PHO,W (+8),1,36:32,9,18,.500,0,0,,4,8,.500,2,3,5,6,1,1,3,3,22,15.4,+15
63,63,2014-03-06,24-355,LAC,@,LAL,W (+48),1,25:47,8,12,.667,0,0,,4,6,.667,2,9,11,7,2,0,5,3,20,18.8,+34
64,64,2014-03-08,24-357,LAC,,ATL,W (+1),1,37:51,11,19,.579,0,0,,5,9,.556,3,5,8,5,1,0,7,5,27,15.6,-1
65,65,2014-03-10,24-359,LAC,,PHO,W (+7),1,31:42,14,16,.875,0,0,,9,10,.900,2,4,6,3,1,0,6,6,37,28.3,+9
66,66,2014-03-12,24-361,LAC,,GSW,W (+13),1,42:00,13,28,.464,0,0,,4,8,.500,5,10,15,3,3,0,3,2,30,21.8,+10
67,67,2014-03-14,24-363,LAC,@,UTA,W (+9),1,36:22,7,17,.412,0,1,.000,6,6,1.000,1,4,5,5,2,0,2,2,20,15.5,-2
68,68,2014-03-16,25-000,LAC,,CLE,W (+22),1,37:32,9,18,.500,0,0,,3,4,.750,0,11,11,8,0,1,1,4,21,18.6,+24
69,69,2014-03-17,25-001,LAC,@,DEN,L (-10),1,41:44,7,25,.280,0,0,,12,12,1.000,8,4,12,4,2,2,2,3,26,21.1,0
70,70,2014-03-22,25-006,LAC,,DET,W (+9),1,37:26,12,17,.706,0,1,.000,1,2,.500,1,6,7,7,1,1,3,2,25,22.8,+23
71,71,2014-03-24,25-008,LAC,,MIL,W (+8),1,38:18,10,19,.526,0,0,,7,9,.778,2,12,14,6,1,3,5,0,27,24.2,+14
72,72,2014-03-26,25-010,LAC,@,NOP,L (-2),1,38:53,6,13,.462,0,0,,9,15,.600,2,6,8,3,2,2,3,3,21,16.4,0
73,73,2014-03-27,25-011,LAC,@,DAL,W (+6),1,40:03,8,14,.571,0,0,,2,3,.667,4,9,13,4,0,2,4,5,18,14.7,+15
