Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,2,2016-10-30,27-228,LAC,,UTA,W (+13),1,29:47,7,14,.500,0,1,.000,4,6,.667,3,7,10,1,1,0,2,2,18,13.3,+12
3,3,2016-10-31,27-229,LAC,,PHO,W (+18),1,31:30,4,7,.571,1,1,1.000,12,14,.857,0,11,11,5,0,1,5,5,21,17.4,+18
4,4,2016-11-02,27-231,LAC,,OKC,L (-2),1,34:00,7,21,.333,0,2,.000,0,3,.000,3,6,9,5,2,1,2,4,14,7.4,-4
5,5,2016-11-04,27-233,LAC,@,MEM,W (+11),1,35:31,5,13,.385,0,0,,4,6,.667,2,8,10,2,1,0,2,3,14,9.1,+8
6,6,2016-11-05,27-234,LAC,@,SAS,W (+24),1,29:09,13,19,.684,0,2,.000,2,3,.667,1,4,5,3,1,0,0,2,28,23.7,+25
7,7,2016-11-07,27-236,LAC,,DET,W (+32),1,27:52,5,11,.455,0,1,.000,3,4,.750,1,9,10,9,0,0,1,2,13,14.8,+27
8,8,2016-11-09,27-238,LAC,,POR,W (+31),1,26:21,7,14,.500,0,1,.000,8,10,.800,4,9,13,5,2,1,0,0,22,25.9,+34
9,9,2016-11-11,27-240,LAC,@,OKC,W (+2),1,36:13,10,20,.500,0,1,.000,5,7,.714,2,4,6,3,2,0,3,1,25,17.5,+6
10,10,2016-11-12,27-241,LAC,@,MIN,W (+14),1,36:41,7,17,.412,0,0,,6,8,.750,1,10,11,4,0,1,2,3,20,14.1,+27
11,11,2016-11-14,27-243,LAC,,BRK,W (+32),1,25:40,9,15,.600,0,1,.000,2,3,.667,1,5,6,6,2,0,1,3,20,18.9,+37
12,12,2016-11-16,27-245,LAC,,MEM,L (-4),1,37:57,8,15,.533,0,1,.000,9,12,.750,1,7,8,3,1,2,0,2,25,23.0,+8
13,13,2016-11-18,27-247,LAC,@,SAC,W (+6),1,36:47,7,15,.467,0,1,.000,15,16,.938,2,5,7,6,2,1,2,4,29,27.1,+9
14,14,2016-11-19,27-248,LAC,,CHI,W (+7),1,38:48,8,15,.533,0,0,,10,10,1.000,2,11,13,5,1,0,3,3,26,23.7,+13
15,15,2016-11-21,27-250,LAC,,TOR,W (+8),1,35:53,10,17,.588,0,0,,6,8,.750,1,6,7,7,1,1,0,5,26,24.4,+9
16,16,2016-11-23,27-252,LAC,@,DAL,W (+20),1,26:06,4,10,.400,1,1,1.000,3,6,.500,0,6,6,7,2,0,4,2,12,9.3,+14
17,17,2016-11-25,27-254,LAC,@,DET,L (-11),1,36:12,9,17,.529,1,1,1.000,5,8,.625,2,1,3,5,1,1,1,0,24,20.4,-9
18,18,2016-11-27,27-256,LAC,@,IND,L (-21),1,34:08,6,15,.400,0,1,.000,4,4,1.000,3,6,9,3,0,0,3,1,16,10.5,-14
19,,2016-11-29,27-258,LAC,@,BRK,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,19,2016-12-01,27-260,LAC,@,CLE,W (+19),1,30:32,4,14,.286,0,1,.000,5,8,.625,2,3,5,11,1,0,3,0,13,11.6,+19
21,20,2016-12-02,27-261,LAC,@,NOP,W (+18),1,33:46,12,22,.545,1,2,.500,2,3,.667,1,8,9,4,0,0,2,4,27,18.3,+25
22,21,2016-12-04,27-263,LAC,,IND,L (-9),1,34:22,10,21,.476,0,0,,4,7,.571,4,12,16,5,1,2,3,3,24,20.2,+9
23,22,2016-12-07,27-266,LAC,,GSW,L (-17),1,30:54,5,20,.250,0,1,.000,2,4,.500,4,5,9,2,1,0,7,4,12,-2.7,-12
24,,2016-12-10,27-269,LAC,,NOP,W (+28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
25,23,2016-12-12,27-271,LAC,,POR,W (+1),1,40:00,12,25,.480,0,0,,2,3,.667,4,8,12,6,0,1,5,3,26,16.8,+1
26,24,2016-12-14,27-273,LAC,@,ORL,W (+5),1,33:24,9,14,.643,0,0,,5,7,.714,1,6,7,3,0,0,4,4,23,15.0,-1
27,25,2016-12-16,27-275,LAC,@,MIA,W (+4),1,38:21,9,15,.600,0,0,,2,2,1.000,2,6,8,4,1,0,5,3,20,13.9,-2
28,26,2016-12-18,27-277,LAC,@,WAS,L (-7),1,38:21,10,21,.476,0,0,,6,8,.750,1,6,7,7,1,0,2,1,26,20.5,-5
29,,2016-12-20,27-279,LAC,,DEN,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2016-12-22,27-281,LAC,,SAS,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2016-12-23,27-282,LAC,,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2016-12-25,27-284,LAC,@,LAL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2016-12-26,27-285,LAC,,DEN,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2016-12-28,27-287,LAC,@,NOP,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2016-12-30,27-289,LAC,@,HOU,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2016-12-31,27-290,LAC,@,OKC,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2017-01-02,27-292,LAC,,PHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2017-01-04,27-294,LAC,,MEM,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2017-01-06,27-296,LAC,@,SAC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2017-01-08,27-298,LAC,,MIA,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2017-01-11,27-301,LAC,,ORL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2017-01-14,27-304,LAC,,LAL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2017-01-16,27-306,LAC,,OKC,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2017-01-19,27-309,LAC,,MIN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2017-01-21,27-311,LAC,@,DEN,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2017-01-23,27-313,LAC,@,ATL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,27,2017-01-24,27-314,LAC,@,PHI,L (-11),1,29:28,3,11,.273,0,0,,6,10,.600,2,9,11,5,1,0,6,2,12,5.7,+3
48,28,2017-01-28,27-318,LAC,@,GSW,L (-46),1,22:44,9,14,.643,0,1,.000,2,3,.667,2,2,4,2,1,0,2,4,20,14.2,-34
49,29,2017-02-01,27-322,LAC,@,PHO,W (+10),1,34:04,10,14,.714,0,0,,9,10,.900,1,7,8,5,1,1,1,1,29,29.4,+11
50,30,2017-02-02,27-323,LAC,,GSW,L (-13),1,30:11,10,19,.526,0,0,,11,13,.846,5,3,8,2,3,1,3,2,31,26.6,-11
51,31,2017-02-05,27-326,LAC,@,BOS,L (-5),1,36:58,9,19,.474,0,1,.000,5,6,.833,0,8,8,4,1,0,4,2,23,14.3,-8
52,32,2017-02-06,27-327,LAC,@,TOR,L (-9),1,36:50,11,19,.579,2,3,.667,2,3,.667,4,7,11,11,1,0,2,3,26,27.1,-1
53,33,2017-02-08,27-329,LAC,@,NYK,W (+4),1,35:35,11,23,.478,2,3,.667,8,11,.727,3,5,8,5,2,0,0,2,32,27.4,+5
54,34,2017-02-11,27-332,LAC,@,CHO,W (+5),1,34:33,8,19,.421,0,2,.000,4,5,.800,4,8,12,8,0,1,1,3,20,18.8,+5
55,35,2017-02-13,27-334,LAC,@,UTA,W (+16),1,33:33,11,18,.611,1,1,1.000,3,4,.750,2,8,10,6,0,2,0,1,26,26.4,+23
56,36,2017-02-15,27-336,LAC,,ATL,W (+15),1,29:17,6,15,.400,1,3,.333,4,4,1.000,1,4,5,9,1,2,4,2,17,14.7,+16
57,37,2017-02-23,27-344,LAC,@,GSW,L (-10),1,34:50,3,13,.231,1,2,.500,5,9,.556,0,5,5,8,1,0,2,2,12,7.8,-15
58,38,2017-02-24,27-345,LAC,,SAS,L (-8),1,38:29,9,17,.529,0,2,.000,11,11,1.000,2,7,9,5,1,0,3,5,29,23.7,-4
59,39,2017-02-26,27-347,LAC,,CHO,W (+3),1,42:19,15,26,.577,3,4,.750,10,16,.625,4,6,10,5,2,0,1,4,43,35.9,+16
60,40,2017-03-01,27-350,LAC,,HOU,L (-19),1,34:37,7,17,.412,1,4,.250,2,5,.400,3,1,4,5,0,0,3,4,17,8.0,-12
61,41,2017-03-03,27-352,LAC,@,MIL,L (-11),1,38:05,6,9,.667,0,1,.000,9,13,.692,0,9,9,8,0,0,5,2,21,18.0,-8
62,42,2017-03-04,27-353,LAC,@,CHI,W (+10),1,34:29,5,15,.333,0,3,.000,6,6,1.000,1,5,6,7,0,0,3,1,16,11.2,+11
63,43,2017-03-06,27-355,LAC,,BOS,W (+14),1,35:46,8,15,.533,1,3,.333,9,10,.900,2,6,8,3,0,0,1,4,26,21.0,+6
64,44,2017-03-08,27-357,LAC,@,MIN,L (-16),1,35:50,5,11,.455,2,4,.500,4,4,1.000,0,4,4,2,0,0,6,4,16,5.3,-19
65,45,2017-03-09,27-358,LAC,@,MEM,W (+16),1,30:25,4,13,.308,0,2,.000,6,8,.750,3,9,12,8,0,1,2,3,14,13.6,+19
66,46,2017-03-11,27-360,LAC,,PHI,W (+12),1,35:14,5,12,.417,0,2,.000,5,5,1.000,3,7,10,6,3,0,4,2,15,15.2,+8
67,47,2017-03-13,27-362,LAC,@,UTA,L (-6),1,36:36,3,8,.375,1,2,.500,1,2,.500,1,8,9,5,0,0,0,2,8,9.0,-2
68,48,2017-03-15,27-364,LAC,,MIL,L (-1),1,37:29,6,12,.500,1,4,.250,5,8,.625,2,5,7,4,0,0,1,0,18,15.5,0
69,,2017-03-16,28-000,LAC,@,DEN,L (-15),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
70,49,2017-03-18,28-002,LAC,,CLE,W (+30),1,31:06,10,17,.588,1,2,.500,2,4,.500,1,7,8,4,0,0,0,1,23,19.5,+16
71,50,2017-03-20,28-004,LAC,,NYK,W (+9),1,30:51,12,19,.632,3,4,.750,3,7,.429,3,3,6,2,1,1,1,3,30,23.8,+21
72,51,2017-03-21,28-005,LAC,@,LAL,W (+24),1,25:58,2,9,.222,1,4,.250,7,8,.875,1,2,3,8,0,0,4,2,12,8.2,+17
73,52,2017-03-23,28-007,LAC,@,DAL,L (-2),1,38:34,9,23,.391,1,3,.333,2,4,.500,0,5,5,2,1,0,4,1,21,7.2,-1
74,53,2017-03-25,28-009,LAC,,UTA,W (+13),1,32:35,6,16,.375,1,5,.200,2,2,1.000,0,6,6,1,3,0,0,2,15,10.9,+2
75,54,2017-03-26,28-010,LAC,,SAC,L (-1),1,32:04,6,11,.545,2,4,.500,3,4,.750,0,6,6,4,1,0,3,1,17,13.5,+11
76,55,2017-03-29,28-013,LAC,,WAS,W (+9),1,39:59,10,16,.625,0,2,.000,6,8,.750,1,9,10,9,2,0,2,3,26,26.5,+21
77,56,2017-03-30,28-014,LAC,@,PHO,W (+6),1,38:12,12,19,.632,2,2,1.000,5,7,.714,0,7,7,2,2,0,3,4,31,22.6,+7
